[2024-03-27T12:33:13.947Z] Session mysession closed, restarting tmux...
[2024-03-27T15:33:14.082Z] Session mysession closed, restarting tmux...
[2024-03-27T18:33:14.195Z] Session mysession closed, restarting tmux...
[2024-03-27T21:33:14.310Z] Session mysession closed, restarting tmux...
[2024-03-28T00:33:14.424Z] Session mysession closed, restarting tmux...
[2024-03-28T03:33:14.533Z] Session mysession closed, restarting tmux...
[2024-03-28T06:33:14.646Z] Session mysession closed, restarting tmux...
[2024-03-28T09:33:14.759Z] Session mysession closed, restarting tmux...
[2024-03-28T12:33:14.870Z] Session mysession closed, restarting tmux...
[2024-03-28T15:33:14.981Z] Session mysession closed, restarting tmux...
[2024-03-28T18:33:15.095Z] Session mysession closed, restarting tmux...
[2024-03-28T21:33:15.210Z] Session mysession closed, restarting tmux...
[2024-03-29T18:10:04.137Z] Session mysession closed, restarting tmux...
[2024-03-29T21:10:04.250Z] Session mysession closed, restarting tmux...
[2024-03-30T00:10:04.362Z] Session mysession closed, restarting tmux...
[2024-03-30T03:10:04.478Z] Session mysession closed, restarting tmux...
[2024-03-30T06:10:04.590Z] Session mysession closed, restarting tmux...
[2024-03-30T09:10:04.703Z] Session mysession closed, restarting tmux...
[2024-03-30T12:10:04.814Z] Session mysession closed, restarting tmux...
[2024-03-30T15:10:04.929Z] Session mysession closed, restarting tmux...
[2024-03-30T18:10:05.038Z] Session mysession closed, restarting tmux...
[2024-03-30T21:10:05.150Z] Session mysession closed, restarting tmux...
[2024-03-31T00:10:05.262Z] Session mysession closed, restarting tmux...
[2024-03-31T03:10:05.374Z] Session mysession closed, restarting tmux...
[2024-03-31T06:10:05.500Z] Session mysession closed, restarting tmux...
[2024-03-31T09:10:05.688Z] Session mysession closed, restarting tmux...
[2024-03-31T12:10:05.882Z] Session mysession closed, restarting tmux...
[2024-03-31T15:10:05.994Z] Session mysession closed, restarting tmux...
[2024-03-31T18:10:06.110Z] Session mysession closed, restarting tmux...
[2024-04-01T10:18:48.098Z] Session mysession closed, restarting tmux...
[2024-04-01T13:18:48.211Z] Session mysession closed, restarting tmux...
[2024-04-01T16:18:48.325Z] Session mysession closed, restarting tmux...
[2024-04-01T19:18:48.437Z] Session mysession closed, restarting tmux...
[2024-04-01T22:18:48.546Z] Session mysession closed, restarting tmux...
[2024-04-02T01:18:48.656Z] Session mysession closed, restarting tmux...
[2024-04-02T06:11:40.183Z] Session mysession closed, restarting tmux...
[2024-04-02T09:11:40.294Z] Session mysession closed, restarting tmux...
[2024-04-02T12:11:40.405Z] Session mysession closed, restarting tmux...
[2024-04-02T15:11:40.518Z] Session mysession closed, restarting tmux...
[2024-04-02T18:11:40.631Z] Session mysession closed, restarting tmux...
[2024-04-02T21:11:40.745Z] Session mysession closed, restarting tmux...
[2024-04-03T00:11:40.858Z] Session mysession closed, restarting tmux...
[2024-04-03T03:11:40.984Z] Session mysession closed, restarting tmux...
[2024-04-03T06:11:41.096Z] Session mysession closed, restarting tmux...
[2024-04-03T09:11:41.209Z] Session mysession closed, restarting tmux...
[2024-04-03T12:11:41.321Z] Session mysession closed, restarting tmux...
[2024-04-03T15:11:41.434Z] Session mysession closed, restarting tmux...
[2024-04-03T18:11:41.544Z] Session mysession closed, restarting tmux...
[2024-04-03T21:47:03.249Z] Session mysession closed, restarting tmux...
[2024-04-04T00:47:03.362Z] Session mysession closed, restarting tmux...
[2024-04-04T03:47:03.474Z] Session mysession closed, restarting tmux...
[2024-04-04T06:47:03.587Z] Session mysession closed, restarting tmux...
[2024-04-04T09:47:03.697Z] Session mysession closed, restarting tmux...
[2024-04-04T12:47:03.809Z] Session mysession closed, restarting tmux...
[2024-04-04T15:47:03.922Z] Session mysession closed, restarting tmux...
[2024-04-04T18:47:04.037Z] Session mysession closed, restarting tmux...
[2024-04-04T21:47:04.148Z] Session mysession closed, restarting tmux...
[2024-04-05T00:47:04.260Z] Session mysession closed, restarting tmux...
[2024-04-05T03:47:04.373Z] Session mysession closed, restarting tmux...
[2024-04-05T06:47:04.485Z] Session mysession closed, restarting tmux...
[2024-04-06T12:22:18.149Z] Session mysession closed, restarting tmux...
[2024-04-06T14:04:24.465Z] Error: duplicate session: mysession

[2024-04-06T14:04:34.476Z] Error: duplicate session: mysession

[2024-04-06T14:04:44.527Z] Error: duplicate session: mysession

[2024-04-06T14:04:54.580Z] Error: duplicate session: mysession

[2024-04-06T14:05:04.632Z] Error: duplicate session: mysession

[2024-04-06T17:32:51.653Z] Session mysession closed, restarting tmux...
[2024-04-06T19:33:14.329Z] Session mysession closed, restarting tmux...
[2024-04-06T21:33:42.028Z] Session mysession closed, restarting tmux...
[2024-04-06T23:34:09.725Z] Session mysession closed, restarting tmux...
[2024-04-07T01:34:37.425Z] Session mysession closed, restarting tmux...
[2024-04-07T03:35:00.101Z] Session mysession closed, restarting tmux...
[2024-04-07T05:35:22.777Z] Session mysession closed, restarting tmux...
[2024-04-07T07:35:45.459Z] Session mysession closed, restarting tmux...
[2024-04-07T09:36:13.153Z] Session mysession closed, restarting tmux...
[2024-04-07T12:14:10.645Z] Session mysession closed, restarting tmux...
[2024-04-07T14:14:38.337Z] Session mysession closed, restarting tmux...
[2024-04-07T16:15:01.016Z] Session mysession closed, restarting tmux...
[2024-04-07T18:15:28.709Z] Session mysession closed, restarting tmux...
[2024-04-07T20:15:56.411Z] Session mysession closed, restarting tmux...
[2024-04-07T22:16:19.085Z] Session mysession closed, restarting tmux...
[2024-04-08T00:16:41.749Z] Session mysession closed, restarting tmux...
[2024-04-08T02:17:09.441Z] Session mysession closed, restarting tmux...
[2024-04-08T04:17:37.141Z] Session mysession closed, restarting tmux...
[2024-04-08T06:18:04.838Z] Session mysession closed, restarting tmux...
[2024-04-08T08:18:27.510Z] Session mysession closed, restarting tmux...
[2024-04-08T10:18:50.186Z] Session mysession closed, restarting tmux...
[2024-04-08T12:19:12.855Z] Session mysession closed, restarting tmux...
[2024-04-08T14:19:40.556Z] Session mysession closed, restarting tmux...
[2024-04-08T16:20:08.252Z] Session mysession closed, restarting tmux...
[2024-04-08T18:20:30.930Z] Session mysession closed, restarting tmux...
[2024-04-08T20:20:53.604Z] Session mysession closed, restarting tmux...
[2024-04-08T22:21:16.281Z] Session mysession closed, restarting tmux...
[2024-04-09T03:17:09.585Z] Session mysession closed, restarting tmux...
[2024-04-09T05:17:37.298Z] Session mysession closed, restarting tmux...
[2024-04-09T07:18:05.009Z] Session mysession closed, restarting tmux...
[2024-04-09T09:18:32.697Z] Session mysession closed, restarting tmux...
[2024-04-09T11:19:00.390Z] Session mysession closed, restarting tmux...
[2024-04-09T13:19:23.075Z] Session mysession closed, restarting tmux...
[2024-04-09T15:19:45.755Z] Session mysession closed, restarting tmux...
[2024-04-09T17:20:13.485Z] Session mysession closed, restarting tmux...
[2024-04-09T19:20:36.153Z] Session mysession closed, restarting tmux...
[2024-04-09T21:20:58.825Z] Session mysession closed, restarting tmux...
[2024-04-09T23:21:26.521Z] Session mysession closed, restarting tmux...
[2024-04-10T01:21:54.211Z] Session mysession closed, restarting tmux...
[2024-04-10T03:22:21.913Z] Session mysession closed, restarting tmux...
[2024-04-10T05:22:44.589Z] Session mysession closed, restarting tmux...
[2024-04-10T07:23:12.287Z] Session mysession closed, restarting tmux...
[2024-04-10T09:23:34.958Z] Session mysession closed, restarting tmux...
[2024-04-10T11:24:02.654Z] Session mysession closed, restarting tmux...
